22001,@BnHydn_2,7 days ago,"Happy viewing to all  / "" From the Locale Congregation of La Trinidad""",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy6AaqBzTquPBt6xaB4AaABAg,Ugy6AaqBzTquPBt6xaB4AaABAg,UCFiIuFtStNyId62JOmMovbw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
22002,@luibustamante9493,7 days ago,"“From the mountains of Benguet comes a song that touches the heart deeply. God’s Love is more than music—it’s inspiration, comfort, and faith in every lyric. Truly an entry worth watching and sharing! 👏❤️ #INCMVBenguet /  / Hello po sa mga maytungkulin sa Lokal ng Tuba most esp po sa mga Mang-aawit at Kadiwa MT /  / -From Locale Congregation of Tuba District of Benguet, Kadiwa District Officer",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugx7PFnrOIVNKvst9Hl4AaABAg,Ugx7PFnrOIVNKvst9Hl4AaABAg,UCFAmrhDmv6rvZrQoYp-IS9w,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
22003,@MatthewDaoa-o3g,7 days ago,Ang smooth po ng flow ng music video. Suporta mula sa lokal ng Baguio City.,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyaKw8XBqlqCvXZbtV4AaABAg,UgyaKw8XBqlqCvXZbtV4AaABAg,UCDKDmTN16MJsNnkNk5xTdNQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
22004,@joy-d3n4u,7 days ago,😇Blessed sunday po😊shout out po sa butihing ina.Anjan laging gumagabay na.Laging nakangiti kahit pagod na.-Ka Jeanie Tugad and Family❤❤ / 🎉🎉Lokal ng Atok Gold❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzLWBlfXm1iZor8tQ94AaABAg,UgzLWBlfXm1iZor8tQ94AaABAg,UCdSHn503pqXwdsqmLKce88g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
22005,@MatthewDaoa-o3g,7 days ago,Very inspiring po ng whole video. Lokal ng Baguio City all support! 3:00,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxbU-v4fMHWauSsbDh4AaABAg,UgxbU-v4fMHWauSsbDh4AaABAg,UCDKDmTN16MJsNnkNk5xTdNQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
22006,@MatthewDaoa-o3g,7 days ago,Ang ganda po ng arrangement ng music. Greetings mula sa lokal ng Baguio City. 2:40,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwK1-W-hgoSQpnsUPl4AaABAg,UgwK1-W-hgoSQpnsUPl4AaABAg,UCDKDmTN16MJsNnkNk5xTdNQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
22007,@MatthewDaoa-o3g,7 days ago,Nakaka-touch po talaga ang mensahe ng kanta. From lokal ng Baguio City po. 2:15,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyT6yqbX5DfCBJ3cgR4AaABAg,UgyT6yqbX5DfCBJ3cgR4AaABAg,UCDKDmTN16MJsNnkNk5xTdNQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
22008,@MatthewDaoa-o3g,7 days ago,Ang husay po ng pagkaka-edit ng bawat eksena. Lokal ng Baguio City support here!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwqMYCuFGfob59JLvR4AaABAg,UgwqMYCuFGfob59JLvR4AaABAg,UCDKDmTN16MJsNnkNk5xTdNQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
22009,@joy-d3n4u,7 days ago,☕☕masayang panonood  po  / Habang nagkakape😂 / ❤INCMV❤ / Shout out po sa Lazaro Family / 😊😊😊Lokal ng Atok Gold😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyH03DtLc-OWQ-oxBJ4AaABAg,UgyH03DtLc-OWQ-oxBJ4AaABAg,UCdSHn503pqXwdsqmLKce88g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
22010,@JAZZ-p4b,7 days ago,"Shout out po sa aming Destinado, Bro. Kenner Bokilis 💗  /  / -La Trinidad",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzI_4aGfEhmhXXFzHp4AaABAg,UgzI_4aGfEhmhXXFzHp4AaABAg,UC_S502t_HqWNj_mH4FrmElg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
