6001,@coto-onglheanaajc.3303,3 days ago,Happy Viewing po from Lokal ng Hillside,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxmeBTQNhiVxepj_pR4AaABAg,UgxmeBTQNhiVxepj_pR4AaABAg,UCepvdbDlLD3XhIPriTXriCw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6002,@coto-onglheanaajc.3303,3 days ago,Nonstop love and support from Lokal ng Hillside ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwzjJ8DYwFoCrjmpkN4AaABAg,UgwzjJ8DYwFoCrjmpkN4AaABAg,UCepvdbDlLD3XhIPriTXriCw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6003,@gwynethcayabyab5981,3 days ago,Gooooo Benguet stay on top🎉 / Fight fight fight / -kadiwa,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwgHy1SDIvC9s79T_l4AaABAg,UgwgHy1SDIvC9s79T_l4AaABAg,UCouodNvhL1bfJC2Fz0B_Rcw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6004,@daisycastaneda7972,3 days ago,"HELLOW EVERYONE, FULL  SUPPORT  ALL THE WAY FROM THE STRAWBERRY CAPITAL, HAPPY WATCHING / FROM BAGUIO  CITY / KALIHIMAM/ REGISTRY",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyOzYYao1NBI9vQ3M94AaABAg,UgyOzYYao1NBI9vQ3M94AaABAg,UCD3NlGp4eLYcR2RGC7FwnKQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6005,@johnreylucio8970,3 days ago,"Nakamamangha ka BENGUET!! / Patuloy kaming naka suporta, Mga Kadiwa, at Lokal ng La Trinidad 🎉",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzy-pAJdvzONdGkB7x4AaABAg,Ugzy-pAJdvzONdGkB7x4AaABAg,UCNMupRD4ySrN336KZpy29OA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6006,@luibustamante9493,3 days ago (edited),Let's Go Benguet 🎉🍓🍓🍓 /  / Let's Go Kadiwa🎉 /  / Happy viewing po sa lahat ng kapatid at maytungkulin 🤗🤗🤗 Tuloy lang po tayo sa masaya at masiglang pagkakaisa. Benguet on Top🎉🎉🎉 /  / -Lokal ng Tuba,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwnlkMXMUwk0OWNEst4AaABAg,UgwnlkMXMUwk0OWNEst4AaABAg,UCFAmrhDmv6rvZrQoYp-IS9w,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6007,@user-xr1lw4hk9k,3 days ago,Napakasarap panoorin at pakinggan habang may mainit na kape 😁 Happy watching mga Kabagis from Camp 7 po 🥳,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzRv8cGVfbdLui8bHl4AaABAg,UgzRv8cGVfbdLui8bHl4AaABAg,UCH_rRGg8-ftfF4TQ1qpyd4g,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6008,@Julskie28,3 days ago,Let's Go Benguet 🎉❤ / Fight fight fight!! /  / Tuloy tuloy lang po tayo sa pag suporta ❤ /  / From KADIWAs of Benguet ❤ / Lokal ng Guisad ❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzsXsBw1XTLJ9TLlcB4AaABAg,UgzsXsBw1XTLJ9TLlcB4AaABAg,UC1nz0UiWHV8lyoQdZtJejeg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6009,@rosendabauzon2025,3 days ago,Pagbati po sa lahat ng kapatid mula sa LOKAL NG IRISAN🎉🎉❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzdHYAnEDCIJCPNdMd4AaABAg,UgzdHYAnEDCIJCPNdMd4AaABAg,UCIxunIag4Pkjs9AwwMi_KOw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6010,@ReynanteBauzon,3 days ago,Lokal ng irisan❤❤❤😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyLKw2MwrwXsPONBxF4AaABAg,UgyLKw2MwrwXsPONBxF4AaABAg,UCW4izpxy03rvPFmI2RjSP7Q,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6011,@ReynanteBauzon,3 days ago,"A newday, a new life that lasts till forever❤❤ / Mula sa pananalapi ng Lokal ng irisan😊",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwd8bZo2J1q-GY9gFB4AaABAg,Ugwd8bZo2J1q-GY9gFB4AaABAg,UCW4izpxy03rvPFmI2RjSP7Q,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6012,@johnreysabado3966,3 days ago,"benguet go, # sayatan,Kaya yan",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwRl6MDNlUbXlwGcMZ4AaABAg,UgwRl6MDNlUbXlwGcMZ4AaABAg,UCa3Lttaz6VOaIOf13Fp-Y6A,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6013,@rosendabauzon2025,3 days ago,Happy Thursday🎉🎉 / LOKAL NG IRISAN🎉🎉❤❤,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxXxuDfDW_RbjpNoT14AaABAg,UgxXxuDfDW_RbjpNoT14AaABAg,UCIxunIag4Pkjs9AwwMi_KOw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6014,@johnreysabado3966,3 days ago,good afternoon po nood tayo habang gumagayak 😊😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugy9iB8fPq74VsykHC54AaABAg,Ugy9iB8fPq74VsykHC54AaABAg,UCa3Lttaz6VOaIOf13Fp-Y6A,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6015,@ReynanteBauzon,3 days ago,His wondrous love❤❤ / Lokal ng irisan😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgweFI5wQYw2cSGE6rN4AaABAg,UgweFI5wQYw2cSGE6rN4AaABAg,UCW4izpxy03rvPFmI2RjSP7Q,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6016,@ReynanteBauzon,3 days ago,Good afternoon po mga kapatid / Lokal ng irisan😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzx_MEykka8Ju4Owo94AaABAg,Ugzx_MEykka8Ju4Owo94AaABAg,UCW4izpxy03rvPFmI2RjSP7Q,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6017,@Yana_Cax_3yyy,3 days ago,Pagbati po mula sa kapisanang binhi lokal po ng megaroyale village!! Pati po sa kasamahan naming mga Binhi District Officer!❤️‍🔥,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwADIcl7TtclORP0Xd4AaABAg,UgwADIcl7TtclORP0Xd4AaABAg,UCdy8uW-rntsBTXOfRU0mC6A,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
6018,@yzabelgayadan6013,3 days ago,Hello po sa buong Benguet district! Shoutout po sa ating mga Kadiwa Officers! / Greetings from Marcos Highway family!,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgytFW5xaI7-7S_SFPd4AaABAg,UgytFW5xaI7-7S_SFPd4AaABAg,UCdZGb4w25RyQ_9_blAErBaQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
