26001,@jesibeldasilag8102,8 days ago,Happy viewing po from baguio,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyVWt6KJoe6BfhnBXB4AaABAg,UgyVWt6KJoe6BfhnBXB4AaABAg,UCjgCGrc_KIvfJlbZAnczijg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
26002,@GreySantino,8 days ago,"happy viewing po dito sa lokal ng baguio city, sobrang ganda po ng INCMV 🎉",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwH6fuua9GEk2QjJzB4AaABAg,UgwH6fuua9GEk2QjJzB4AaABAg,UCgmH8Vmu8sdTmagiLke9JGA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
26003,@tayabanrt,8 days ago,"Magandang gabi po, babalikan po ulit itong napaka-inspiring na music Video, Watching from lokal ng La Trinidad ❤",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzOShohdDmU6RWidqZ4AaABAg,UgzOShohdDmU6RWidqZ4AaABAg,UCCpOKu7HxJqnWctZ5fG9DZg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
26004,@RobertSantos-w3w,8 days ago,Awesome viewing From Lokal ng Baguio City,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgxpO-LPSnFYUbAokmR4AaABAg,UgxpO-LPSnFYUbAokmR4AaABAg,UC_-Aj9ZYpfcstbQWh8aEZqg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
26005,@m-g4marquezkield.475,8 days ago,"goodday po mga kapatid , mula po sa marcos highway",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyeLKW-fLtWUmP1iEx4AaABAg,UgyeLKW-fLtWUmP1iEx4AaABAg,UCbFQ0ju-gwRJ-dX__BlbN7Q,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
26006,@Adliselb,8 days ago,Ang ganda ng kanta 🎵 mula po sa Lokal ng Baguio City 😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwQGsXHm8UtFx_FkY54AaABAg,UgwQGsXHm8UtFx_FkY54AaABAg,UCqdcIovy1nUIY294NOXH8LQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
26007,@METHOSELAHBARRATO-d4q,8 days ago,"Blessed viewing mula sa Lokal ng Baguio City! 🌟 Binabati ko po si Ka Alexa Garcia Canta, YOHOOO /  / ~ Let’s go Benguet 🍓😇🤍",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzjVoMgZu5d_vctZ5p4AaABAg,UgzjVoMgZu5d_vctZ5p4AaABAg,UCqpTUdNlEaKFpJnaIsx_Hrg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
26008,@Adliselb,8 days ago,Napakainspiring po 🌸 mula po sa Lokal ng Baguio City 🙏,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgycKPH9iaYmMvmEFVt4AaABAg,UgycKPH9iaYmMvmEFVt4AaABAg,UCqdcIovy1nUIY294NOXH8LQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
26009,@EdPascua-q4y,8 days ago,"Happy viewing mga kapatid, professional tingnan ang kabuuan 🕊 Greetings mula sa Lokal ng Baguio City.",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyH-KgGM_YqQpNJItl4AaABAg,UgyH-KgGM_YqQpNJItl4AaABAg,UCC_j2r4qxgLSbk6Zh11vXjg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
26010,@jankeith_0,8 days ago,"Blessed viewing mula sa Lokal ng Baguio City!❤ / Binabati ko po si Ka Bea Cassandra Sanglay, YOHOOO / ~ Let's go Benguet❤️☺️😇",https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugz-D9O76ZPV_S44skJ4AaABAg,Ugz-D9O76ZPV_S44skJ4AaABAg,UCrPSneHcVzaG6Dsw7hM9niA,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
