4001,La Trinidad,@BnHydn_4,8 days ago,❤🎉 / -La Trinidad,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyRTGJVAuL7ONDB6OZ4AaABAg,UgyRTGJVAuL7ONDB6OZ4AaABAg,UCBGtwATEAOhJaVSd9_AsgFw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
4002,La Trinidad,@Jazz-k6s,8 days ago,Lovely song🎶🎵❤ / La Trinidad 😊,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgyDy1C9EM_lFMjz0ux4AaABAg,UgyDy1C9EM_lFMjz0ux4AaABAg,UCjmyu8zkVg7bQQCs4HypxNQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
4003,La Trinidad,@Xieee-x8v,8 days ago,Shout out po sa lahat ng mga Finance!! 🎉🎉  /  / From Locale congregation of La Trinidad 🏵️,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugzz0jJsIgnmafW1Bj94AaABAg,Ugzz0jJsIgnmafW1Bj94AaABAg,UCjYF2eqO3sw4XuYBb8HsAXg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
4004,La Trinidad,@Jazz-k6s,8 days ago,❤🎶🎵 / La Trinidad,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugwy_rw5ZQp4zuzcRet4AaABAg,Ugwy_rw5ZQp4zuzcRet4AaABAg,UCjmyu8zkVg7bQQCs4HypxNQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
4005,La Trinidad,@BnHydn_4,8 days ago,Nonstop support ✅  / Di nakakasawa✅ / -Lokal ng La Trinidad,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgwOg4ohck5_BJVHdFh4AaABAg,UgwOg4ohck5_BJVHdFh4AaABAg,UCBGtwATEAOhJaVSd9_AsgFw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
4006,La Trinidad,@Kris-t2c3w,8 days ago,Fighting 💪! Let's go Benguet 🫶💖🫶 / -Lokal ng La Trinidad,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgymZ357gV-CwZmDcl14AaABAg,UgymZ357gV-CwZmDcl14AaABAg,UC2lYdlqDj3_tl0-uR11174A,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
4007,La Trinidad,@Xieee-x8v,8 days ago,Shout out po sa lahat ng mga kalihim out there!! kaway kaway 👋👋 /  / Pagbati po mula sa Lokal ng La Trinidad 🎉🎉,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzvC3IC8jxgc3YS35R4AaABAg,UgzvC3IC8jxgc3YS35R4AaABAg,UCjYF2eqO3sw4XuYBb8HsAXg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
4008,La Trinidad,@Jazz-k6s,8 days ago,Shout out po 🔊 /  / Lokal ng La Trinidad 🐑,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugytvo-RnTpkrIxeZ6h4AaABAg,Ugytvo-RnTpkrIxeZ6h4AaABAg,UCjmyu8zkVg7bQQCs4HypxNQ,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
4009,La Trinidad,@Xieee-x8v,8 days ago,Shout out po sa lahat ng mga Diakonesa na nanonood!! 👋👋 /  / Happy viewing po mula sa Lokal ng La Trinidad ✨✨,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=Ugw1IAyy43a46UhaF-F4AaABAg,Ugw1IAyy43a46UhaF-F4AaABAg,UCjYF2eqO3sw4XuYBb8HsAXg,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
4010,La Trinidad,@BnHydn_4,8 days ago,Benguet ON TOP 🔝  / Let's go La Trinidad  / -Kapisanang BINHI,https://www.youtube.com/watch?v=ROa3kbG5M0U&lc=UgzcASCSuT31Kqmk97d4AaABAg,UgzcASCSuT31Kqmk97d4AaABAg,UCBGtwATEAOhJaVSd9_AsgFw,"Fetched 05/24/2026, 8:08:10 PM GMT+8"
